sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,placed,academic_score,exp_bonus
1,1,67.0,1,91.0,1,1,58.0,2,0,55.0,1,58.8,1,270000.0,1,67.9,0
2,1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1,200000.0,1,79.959,5
3,1,65.0,0,68.0,0,0,64.0,0,0,75.0,0,57.8,1,250000.0,1,67.45,0
4,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0,0.0,0,55.800000000000004,0
5,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1,425000.0,1,81.19999999999999,0
6,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0,0.0,0,57.375,5
7,0,46.0,1,49.2,1,1,79.0,0,0,74.28,0,53.29,0,0.0,0,62.356,0
8,1,82.0,0,64.0,0,2,66.0,2,1,67.0,0,62.14,1,252000.0,1,69.7,5
9,1,73.0,0,79.0,0,1,72.0,0,0,91.34,0,61.29,1,231000.0,1,77.868,0
10,1,58.0,0,70.0,0,1,61.0,0,0,54.0,0,52.21,0,0.0,0,61.099999999999994,0
11,1,58.0,0,61.0,0,1,60.0,0,1,62.0,1,60.85,1,260000.0,1,60.15,5
12,1,69.6,0,68.4,0,1,78.3,0,1,60.0,0,63.7,1,250000.0,1,69.99,5
13,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0,0.0,0,57.4,0
14,0,77.0,0,87.0,0,1,59.0,0,0,68.0,0,68.63,1,218000.0,1,72.30000000000001,0
15,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0,0.0,0,57.45,0
16,0,65.0,0,75.0,0,1,69.0,0,1,72.0,0,64.66,1,200000.0,1,70.10000000000001,5
17,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1,300000.0,1,63.97999999999999,5
18,0,55.0,0,67.0,0,1,64.0,0,0,60.0,0,67.28,0,0.0,0,61.7,0
19,0,63.0,0,66.0,0,1,64.0,0,0,68.0,1,64.08,0,0.0,0,65.05000000000001,0
20,1,60.0,1,67.0,1,0,70.0,0,1,50.48,0,77.89,1,236000.0,1,62.846000000000004,5
21,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1,265000.0,1,61.55,0
22,0,79.0,1,76.0,1,1,85.0,0,0,95.0,0,69.06,1,393000.0,1,83.25,0
23,0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1,360000.0,1,65.42500000000001,0
24,0,77.4,1,60.0,1,2,64.74,2,1,92.0,0,63.62,1,300000.0,1,72.172,5
25,1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1,360000.0,1,86.688,0
26,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0,0.0,0,57.05500000000001,5
27,1,71.0,1,79.0,1,1,66.0,0,1,94.0,0,57.55,1,240000.0,1,76.1,5
28,1,63.0,1,67.0,1,1,66.0,0,0,68.0,1,57.69,1,265000.0,1,65.9,0
29,1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1,350000.0,1,73.235,5
30,1,62.0,0,67.0,0,1,58.0,0,0,77.0,0,51.29,0,0.0,0,65.05,0
31,0,64.0,0,73.5,0,1,73.0,0,0,52.0,1,56.7,1,250000.0,1,66.675,0
32,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0,0.0,0,62.3,0
33,0,61.0,0,81.0,0,1,66.4,0,0,50.89,1,62.21,1,278000.0,1,65.598,0
34,0,87.0,1,65.0,1,2,81.0,0,1,88.0,0,72.78,1,260000.0,1,79.9,5
35,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0,0.0,0,57.538000000000004,0
36,0,69.0,0,78.0,0,1,72.0,0,0,71.0,1,62.74,1,300000.0,1,72.55,0
37,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0,0.0,0,53.64999999999999,0
38,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1,320000.0,1,70.03,0
39,0,73.0,1,58.0,1,2,66.0,0,0,53.7,1,56.86,1,240000.0,1,63.29,0
40,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1,411000.0,1,75.05000000000001,0
41,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1,287000.0,1,74.75,0
42,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0,0.0,0,66.78999999999999,5
43,1,49.0,1,39.0,0,2,65.0,1,0,63.0,0,51.21,0,0.0,0,54.1,0
44,1,87.0,1,87.0,1,1,68.0,0,0,95.0,1,62.9,1,300000.0,1,82.9,0
45,0,77.0,1,73.0,1,1,81.0,0,1,89.0,0,69.7,1,200000.0,1,79.6,5
46,0,76.0,0,64.0,0,2,72.0,2,0,58.0,1,66.53,0,0.0,0,68.19999999999999,0
47,0,70.89,1,71.98,1,2,65.6,0,0,68.0,1,71.63,0,0.0,0,68.9975,0
48,1,63.0,0,60.0,0,1,57.0,0,1,78.0,0,54.55,1,204000.0,1,63.449999999999996,5
49,1,63.0,1,62.0,1,1,68.0,0,0,64.0,0,62.46,1,250000.0,1,64.45,0
50,0,50.0,1,37.0,1,0,52.0,1,0,65.0,1,56.11,0,0.0,0,50.35,0
51,0,75.2,0,73.2,0,2,68.4,0,0,65.0,1,62.98,1,200000.0,1,70.62,0
52,1,54.4,0,61.12,0,1,56.2,0,0,67.0,1,62.65,0,0.0,0,59.13999999999999,0
53,0,40.89,1,45.83,1,1,53.0,0,0,71.2,1,65.49,0,0.0,0,51.82,0
54,1,80.0,1,70.0,1,2,72.0,2,0,87.0,1,71.04,1,450000.0,1,76.5,0
55,0,74.0,0,60.0,1,2,69.0,0,0,78.0,1,65.56,1,216000.0,1,69.80000000000001,0
56,1,60.4,0,66.6,1,2,65.0,0,0,71.0,1,52.71,1,220000.0,1,65.45,0
57,1,63.0,1,71.4,1,1,61.4,0,0,68.0,0,66.88,1,240000.0,1,65.62,0
58,1,68.0,0,76.0,0,1,74.0,0,0,80.0,0,63.59,1,360000.0,1,74.2,0
59,1,74.0,0,62.0,1,2,68.0,0,0,74.0,0,57.99,1,268000.0,1,69.2,0
60,1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1,265000.0,1,62.698,0
61,1,74.0,0,70.0,0,2,72.0,0,1,60.0,0,57.24,1,260000.0,1,69.6,5
62,1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1,300000.0,1,71.787,0
